country,index,name,n_turbines,power_mw,status,year,dist_coast,area_sqkm,lat,lon,2025,2030,2035,2040
United Kingdom,4,North West Lewis (30MW),30.0,30.0,Planned,,0.0,50.9825755957,58.405537424897965,-6.520488484772631,0.0,0.0,0.0,0.0
United Kingdom,5,Brough Ness,66.0,99.0,Planned,,262.104683886,2.99059168472,58.72668559856248,-2.9321340403080636,0.0,0.0,0.0,0.0
United Kingdom,6,Brough Head,50.0,50.0,Planned,,0.0,24.1096187126,59.0958010341767,-3.3330192785980746,0.0,0.0,0.0,0.0
United Kingdom,8,Westray South,200.0,200.0,Planned,,560.088376455,12.6405741637,59.17889709970854,-2.877986596223932,0.0,0.0,0.0,0.0
Denmark,9,Nissum Bredning,4.0,28.0,Production,2018,552.097023035,1.03316788511,56.67100111742065,8.245657290819024,28.0,28.0,28.0,28.0
United Kingdom,11,Brims Tidal Array,200.0,200.0,Planned,,410.97129532,11.0332193112,58.760564775379486,-3.2389271346752007,0.0,0.0,0.0,0.0
Denmark,12,Horns Rev II,91.0,209.3,Production,2009,28725.0736239,31.3778733987,55.60015205164505,7.582741992819614,209.3,209.3,209.3,209.3
Denmark,13,Vesterhav Syd,21.0,168.0,Approved,,4096.54210774,46.5819587285,56.062614077109075,7.980816730769437,0.0,168.0,168.0,168.0
United Kingdom,14,Firth of Forth Met Mast,1.0,,Production,,29720.434705,0.01000704067,56.611598246401755,-1.9723548486930453,0.0,0.0,0.0,0.0
Germany,15,OWP West,41.0,240.0,Approved,,53770.3377073,14.0778232166,54.0305495047297,6.1598691086150925,0.0,422.7817154906243,422.7817154906243,422.7817154906243
Germany,16,Borkum Riffgrund West II,34.0,240.0,Approved,,58958.3644647,12.8248901687,54.05425674854168,6.119051907496057,0.0,422.7817154906243,422.7817154906243,422.7817154906243
United Kingdom,18,Walney Extension (WOW04) Wind Farm,47.0,329.0,Production,,19810.4720063,100.065582162,54.07063280621748,-3.687947505237379,329.0,329.0,329.0,329.0
United Kingdom,19,East Anglia One Wind Farm,102.0,714.0,Production,,50593.5866283,162.818244359,52.23264486832999,2.498503541674602,714.0,714.0,714.0,714.0
Germany,20,Borkum Riffgrund 3,83.0,913.0,Approved,,53109.2130575,75.4083126281,54.04679562134937,6.194241813165069,0.0,1608.3321093455834,1608.3321093455834,1608.3321093455834
Denmark,21,Vesterhav Nord,20.0,160.0,Approved,,3994.3470377,58.394706215,56.62229498189711,8.054614185184207,0.0,160.0,160.0,160.0
Germany,22,EnBW He Dreiht,64.0,960.0,Approved,,82993.6474815,62.6028115631,54.36523849675835,6.18650494939668,0.0,1691.1268619624973,1691.1268619624973,1691.1268619624973
United Kingdom,23,Portland Bill,,30.0,Planned,,1614.48712778,3.0963614734,50.49159334431571,-2.449495772173999,0.0,0.0,0.0,0.0
Germany,24,Kaskasi II,38.0,342.0,Approved,,33489.0571751,17.3899277687,54.48914544164343,7.6953428546181,0.0,602.4639445741396,602.4639445741396,602.4639445741396
Netherlands,25,OWF Borssele I,43.0,350.0,Production,,27336.4470449,64.8612005619,51.7472523524402,3.0601162640023194,350.0,350.0,350.0,350.0
Netherlands,26,OWF Borssele II,43.0,351.0,Production,,24230.4116054,63.5277930343,51.634964385352504,3.0693277681963522,351.0,351.0,351.0,351.0
